"_id","_class","dailyGPSData__latitude","dailyGPSData__longitude","dailyGPSData__duration"
"4_29_9_2016","com.projectvision.healthapp.model.mongo.PatientGPSData","18.5115674324506","73.92367416999667","101"
"","","18.51151895075125","73.9237465509426","101"
"","","18.51161016187274","73.92348259097189","101"
"","","18.51161016187274","73.92348259097189","101"
"","","18.51170074819294","73.92357631985794","101"
"","","18.51170019054864","73.92357555006761","101"
"","","18.51170074819294","73.92357631985794","101"
"","","18.51166273468967","73.92360074452489","101"
"","","18.51168247407164","73.92347325577765","101"
"","","18.51171264892306","73.923648605192","101"
"","","18.51167669055845","73.92349177978366","101"
"","","18.5116901285942","73.92356590888957","101"
"","","18.51167635528232","73.92350477173358","101"
"","","18.51170736832406","73.92347535125344","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.51164992187467","73.92357281530835","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.5118493996733","73.92328659079402","101"
"","","18.51178557148065","73.92334752723008","101"
"","","18.51178557148065","73.92334752723008","101"
"","","18.51178557148065","73.92334752723008","101"
"","","18.51178557148065","73.92334752723008","101"
"","","18.51174957120653","73.92338046810954","101"
"","","18.51174957120653","73.92338046810954","101"
"","","18.51174957120653","73.92338046810954","101"
"","","18.51174957120653","73.92338046810954","101"
"","","18.51174957120653","73.92338046810954","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51172128228332","73.9234189410451","101"
"","","18.51171323565628","73.92343235209017","101"
"","","18.51172019263591","73.92342497601538","101"
"","","18.51172170137848","73.92342749058633","101"
"","","18.51171562449868","73.9234139119032","101"
"","","18.51170971525694","73.92341156497031","101"
"","","18.51169844159718","73.92342204234927","101"
"","","18.51162614768232","73.92345640815228","101"
"","","18.51155808662857","73.92345397740036","101"
"","","18.51155808662857","73.92345397740036","101"
"","","18.51155808662857","73.92345397740036","101"
"","","18.51158117805186","73.92346459873383","101"
"","","18.51158117805186","73.92346459873383","101"
"","","18.51158117805186","73.92346459873383","101"
"","","18.51159994913926","73.92344315631586","101"
"","","18.51160653556161","73.92343563347877","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51151688957448","73.92354735180169","101"
"","","18.51157963198594","73.92361498460514","101"
"","","18.5116213995849","73.9237400624468","101"
"","","18.51163049338105","73.92360998302625","101"
"","","18.51164731046526","73.92351817581434","101"
"","","18.5115745190049","73.92360693708713","101"
"","","18.5115745190049","73.92360693708713","101"
"","","18.51164649723012","73.92351740122847","101"
"","","18.51157423938974","73.9236066302858","101"
"","","18.51157402781722","73.92360728547845","101"
"","","18.51156850102847","73.9236244007109","101"
"","","18.5115581200643","73.92364962639566","101"
"","","18.51154534349305","73.92368067339227","101"
"","","18.5115312226289","73.92385429709583","101"
"","","18.5115312226289","73.92385429709583","101"
"","","18.51151659620787","73.92375052913457","101"
"","","18.51153390483792","73.92391364097028","101"
"","","18.51153390483792","73.92391364097028","101"
"","","18.51154262201722","73.92397206283539","101"
"","","18.51164690377994","73.92351778843594","101"
"","","18.51154262201722","73.92397206283539","101"
"","","18.51154262201722","73.92397206283539","101"
"","","18.51154262201722","73.92397206283539","101"
"","","18.5115660913461","73.92404112971752","101"
"","","18.5115660913461","73.92404112971752","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51158231032874","73.92408932566076","101"
"","","18.51153356956179","73.92380945391386","101"
"","","18.51166688207071","73.92360072777713","101"
"","","18.51150929708773","73.92344213445983","101"
"","","18.51166688207071","73.92360072777713","101"
"","","18.51181343890767","73.9234892248733","101"
"","","18.51181047008593","73.92350606059138","101"
"","","18.51158527763326","73.92351860114638","101"
"","","18.51179887704109","73.92363304013332","101"
"","","18.51178959270993","73.92373473215115","101"
"","","18.51176093429621","73.92383982978122","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51147301031138","73.92366612336963","101"
"","","18.51149220486964","73.92361977144509","101"
"","","18.51149220486964","73.92361977144509","101"
"","","18.51149220486964","73.92361977144509","101"
"","","18.51149220486964","73.92361977144509","101"
"","","18.51149220486964","73.92361977144509","101"
"","","18.51155830782611","73.92354971405159","101"
"","","18.51155798480543","73.9235493599393","101"
"","","18.51155765211587","73.92354900710464","101"
"","","18.51151845909787","73.92367994931486","101"
"","","18.51151844303262","73.92368038114068","101"
"","","18.51151802337624","73.92369166147525","101"
